id,lat,long,DataZone,acc_employment,acc_gp,acc_hospitals,acc_school,acc_supermarket,acc_urbancentre
6033,56.48912968,-2.94159534,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6034,56.48823141,-2.94157309,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6035,56.48733315,-2.94155083,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6036,56.48643489,-2.94152857,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6094,56.49004025,-2.93999386,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6095,56.48914198,-2.93997164,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6096,56.48824372,-2.93994942,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6097,56.48734546,-2.9399272,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6098,56.4864472,-2.93990498,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6158,56.48825601,-2.93832575,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6159,56.48735775,-2.93830357,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
6160,56.48645948,-2.93828139,S01007793,6.291390728476822,9.090909090909092,0,71.42857142857143,0,52.459016393442624
5779,56.49446979,-2.9482246,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5780,56.49357153,-2.94820219,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5781,56.49267327,-2.94817978,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5782,56.49177501,-2.94815738,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5839,56.4962787,-2.94664541,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5840,56.49538044,-2.94662304,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5841,56.49448218,-2.94660067,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5842,56.49358392,-2.9465783,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5843,56.49268567,-2.94655593,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5844,56.49178741,-2.94653357,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5904,56.4935963,-2.94495441,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5905,56.49269804,-2.94493208,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5906,56.49179978,-2.94490975,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5967,56.49271039,-2.94330823,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
